==================================================
3Dps Server
==================================================
Time:         2026-03-02 10:03:07.361268
Python:       3.11.9 (tags/v3.11.9:de54cf5, Apr  2 2024, 10:12:12) [MSC v.1938 64 bit (AMD64)]
Working dir:  D:\projects\3Dps\backend
PID:          20252
Service mode: True
==================================================

  Open in browser: http://127.0.0.1:8000

INFO:     Will watch for changes in these directories: ['D:\\projects\\3Dps\\backend']
INFO:     Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
INFO:     Started reloader process [20252] using StatReload
INFO:     Started server process [4964]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     127.0.0.1:63451 - "GET /health HTTP/1.1" 200 OK
INFO:     127.0.0.1:63452 - "GET / HTTP/1.1" 200 OK
INFO:     127.0.0.1:63452 - "GET /api/app-settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63453 - "GET /api/projects HTTP/1.1" 200 OK
INFO:     127.0.0.1:63452 - "GET /api/projects/eff81a84 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63453 - "GET /api/projects/eff81a84/frames HTTP/1.1" 200 OK
INFO:     127.0.0.1:63453 - "GET /api/projects/eff81a84/thumbs/0 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63452 - "GET /api/projects/eff81a84/thumbs/45 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63454 - "GET /api/projects/eff81a84/markers?generation_id=e74b76e0ce37 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63454 - "GET /api/projects/eff81a84/marker_types HTTP/1.1" 200 OK
INFO:     127.0.0.1:63454 - "GET /api/projects/eff81a84/roi HTTP/1.1" 200 OK
[backend] HTTPException 404 at http://127.0.0.1:8000/api/projects/eff81a84/centered_frames: Centered frames not generated
INFO:     127.0.0.1:63454 - "GET /api/projects/eff81a84/centered_frames HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:63454 - "GET /api/projects/eff81a84 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63454 - "GET /api/projects/eff81a84/frames/0 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63454 - "GET /api/projects/eff81a84/frames/1 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63453 - "GET /api/projects/eff81a84/thumbs/2 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63452 - "GET /api/projects/eff81a84/thumbs/4 HTTP/1.1" 200 OK
